Order ID,Order Date,Ship Date,Customer Name,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1000,2022-01-01 00:00:00,2022-01-02 00:00:00,David,East,Office Supplies,Chairs,Desk,924.97,9,0.2,336.74
ORD-1001,2022-01-01 01:00:00,2022-01-02 01:00:00,Eva,South,Technology,Storage,Printer,510.2,4,0.0,209.44
ORD-1002,2022-01-01 02:00:00,2022-01-02 02:00:00,Charlie,Central,Technology,Tables,Printer,254.87,9,0.3,-139.68
ORD-1003,2022-01-01 03:00:00,2022-01-02 03:00:00,Eva,Central,Furniture,Accessories,Monitor,407.33,4,0.3,394.01
ORD-1004,2022-01-01 04:00:00,2022-01-02 04:00:00,Eva,South,Furniture,Tables,Desk,721.68,3,,182.91
ORD-1005,2022-01-01 05:00:00,2022-01-02 05:00:00,Bob,East,Furniture,Chairs,Desk,877.27,3,0.0,445.11
ORD-1006,2022-01-01 06:00:00,2022-01-02 06:00:00,Charlie,West,Furniture,Chairs,Paper,440.74,2,0.1,441.64
ORD-1007,2022-01-01 07:00:00,2022-01-02 07:00:00,Charlie,East,Technology,Chairs,Paper,540.03,3,0.2,444.36
ORD-1008,2022-01-01 08:00:00,2022-01-02 08:00:00,Charlie,East,Office Supplies,Storage,Stapler,932.47,8,0.1,-145.55
ORD-1009,2022-01-01 09:00:00,2022-01-02 09:00:00,Eva,West,Technology,Chairs,Printer,116.42,8,0.1,-115.33
ORD-1010,2022-01-01 10:00:00,2022-01-02 10:00:00,David,South,Technology,Binders,Monitor,863.68,2,0.2,491.39
ORD-1011,2022-01-01 11:00:00,2022-01-02 11:00:00,Charlie,Central,Technology,Tables,Paper,167.71,2,0.3,141.32
ORD-1012,2022-01-01 12:00:00,2022-01-02 12:00:00,Frank,South,Office Supplies,Phones,Desk,489.02,2,,-33.25
ORD-1013,2022-01-01 13:00:00,2022-01-02 13:00:00,Eva,South,Furniture,Accessories,Stapler,226.24,7,0.3,338.77
ORD-1014,2022-01-01 14:00:00,2022-01-02 14:00:00,Bob,East,Technology,Chairs,Monitor,606.92,6,0.3,-15.0
ORD-1015,2022-01-01 15:00:00,2022-01-02 15:00:00,David,Central,Technology,Tables,Pen,562.99,1,0.0,309.05
ORD-1016,2022-01-01 16:00:00,2022-01-02 16:00:00,Frank,Central,Furniture,Chairs,Desk,386.21,2,0.1,386.1
ORD-1017,2022-01-01 17:00:00,2022-01-02 17:00:00,Frank,South,Technology,Storage,Desk,864.67,1,0.1,348.98
ORD-1018,2022-01-01 18:00:00,2022-01-02 18:00:00,Bob,West,Office Supplies,Chairs,Pen,,7,0.1,-8.17
ORD-1019,2022-01-01 19:00:00,2022-01-02 19:00:00,David,South,Technology,Chairs,Printer,723.99,6,,81.13
ORD-1020,2022-01-01 20:00:00,2022-01-02 20:00:00,Eva,West,Technology,Chairs,Printer,159.15,2,,89.28
ORD-1021,2022-01-01 21:00:00,2022-01-02 21:00:00,Alice,,Furniture,Chairs,Paper,884.33,2,,143.89
ORD-1022,2022-01-01 22:00:00,2022-01-02 22:00:00,David,South,Technology,Accessories,Paper,175.37,2,0.2,-82.84
ORD-1023,2022-01-01 23:00:00,2022-01-02 23:00:00,Bob,East,Technology,Tables,Desk,230.56,8,,116.73
ORD-1024,2022-01-02 00:00:00,2022-01-03 00:00:00,Frank,South,Office Supplies,Storage,Desk,136.77,7,0.0,157.55
ORD-1025,2022-01-02 01:00:00,2022-01-03 01:00:00,Eva,Central,Furniture,Chairs,Paper,445.96,1,0.0,
ORD-1026,2022-01-02 02:00:00,2022-01-03 02:00:00,David,East,Furniture,Chairs,Pen,888.83,4,0.3,
ORD-1027,2022-01-02 03:00:00,2022-01-03 03:00:00,Alice,East,Office Supplies,Chairs,Paper,259.92,4,0.3,162.13
ORD-1028,2022-01-02 04:00:00,2022-01-03 04:00:00,Alice,West,Technology,Chairs,Desk,380.02,7,0.3,-38.45
ORD-1029,2022-01-02 05:00:00,2022-01-03 05:00:00,Charlie,East,Furniture,Binders,Monitor,847.61,2,0.3,264.19
ORD-1030,2022-01-02 06:00:00,2022-01-03 06:00:00,Charlie,,Furniture,Binders,Desk,621.64,4,0.0,358.12
ORD-1031,2022-01-02 07:00:00,2022-01-03 07:00:00,Bob,South,Technology,Phones,Monitor,754.1,1,0.3,23.56
ORD-1032,2022-01-02 08:00:00,2022-01-03 08:00:00,David,Central,Technology,Chairs,Monitor,221.86,4,0.0,251.71
ORD-1033,2022-01-02 09:00:00,2022-01-03 09:00:00,David,West,Furniture,Phones,Desk,719.32,1,,-97.14
ORD-1034,2022-01-02 10:00:00,2022-01-03 10:00:00,Frank,South,Technology,Accessories,Stapler,235.33,2,,39.35
ORD-1035,2022-01-02 11:00:00,2022-01-03 11:00:00,Frank,East,Furniture,Phones,Paper,987.44,2,0.2,436.46
